masked sentence,expected
The sheets seemed as [MASK] as blankets and Flit was the only thing that prevented the mosquitoes descending on us like vultures.,light
We had no means of communication with the people in the mountains which to us were as [MASK] as Tibet and the doctor had not ventured there again in fact he was now in great danger.,remote
In spite of all this food I remained as [MASK] as a rake and was as hungry as ever.,thin
His voice had been as [MASK] as the whisper of a breeze against silk.,faint
Susan's face was as [MASK] as snow and she was shaking with cold.,white
One would be the version to be found in the published research papers those strange constrained pieces of writing whose conventions are as [MASK] as a sonnet whose scientific account is always a set of clearly designed unambiguously conducted and conclusive observations building from earlier data and in their final paragraphs pointing the way to future experiments more research is needed to.,rigid
His eyelashes were extravagantly long tar black and as [MASK] as the teeth on a comb and his lids were gently slanted harbouring eyes of an electrifying blue.,thick
We suddenly realized that we were as [MASK] as air and could n't think of a thing to do with this unexpected liberty.,free
"This recipe is as [MASK] as a pair of jeans and, we suppose, could be doctored with a handful of chocolate chips or shredded coconut, but why mess with perfection?",basic
"If a business is centered around your individual talents, the need for good time management should be as [MASK] as a slap in the face.",obvious
"When the two armies clashed the arrows flew in such clouds that they darkened the sky, the hooves of the chariot horses were like thunder upon Olympus, the brazen armour of the Atlanteans dazzled the eye and their spearheads seemed as [MASK] as wheat growing in a field.",countless
"This new moon will arrive with Jupiter in close alignment, which is as [MASK] as diamonds.",rare
"However, fibroids can grow to be as [MASK] as a melon and when they get this big they can cause a lot of pain and discomfort for the female.",big
His eyes are as [MASK] as fire from weeping.,red
The sky was overcast and as there was no wind the lake was as [MASK] as glass.,smooth
"When it comes to women in real life, I imagine he 's as [MASK] as a sheep.",gentle
"Our last glimpse of her shows her at the window, watching them receding into the sky until they were as [MASK] as stars.",small
"They were approximately four kilometers away from the enemies, and the fire torches were about as [MASK] as a firefly, and it was quite impossible for them to even see the figure carrying the torches.",bright
"The creatures can reach an impressive 5,000 pounds and their thick skin is as [MASK] as rubber.",tough
"but he was as [MASK] as a mule, and, instead of snatching at her bait, in wet weather he took to smoking with Joseph.",stubborn
There's no danger he translated his eyes on the soothsayer's hands but the boar that we want is as [MASK] as the wind and as sharp as an eagle.,fast
Lola kept track of patients whose personalities were as [MASK] as the weather One minute Paul says he does not want his wife any more and the next he has changed his mind she listened to their grievances Josef thinks he is fit to work and look after himself says he is being kept a prisoner but he is very confused and deluded and even mediated between doctors Dr Freymann said it must be a genuine case of epilepsy but.,variable
Her back was as [MASK] as a ramrod which made her feel a little more dignified while engaging in what she considered the unladylike art of cycling.,straight
The derelict remains of the old building were as [MASK] as the weather and the bare trees dripped with melting frost like chilling tears.,bleak
When he went to look at Anna before going to school her eyes were once more as [MASK] as the sky and she curled her fingers round his as if she didn't want to let him go.,blue
Sarah stayed outside a few minutes longer her spirits lifting wondrously and she felt as [MASK] as a robin singing among the branches of the oak tree.,happy
When the sun played on her golden hair it was as [MASK] as the copper warming pan which Sarah put between the sheets on winter nights.,bright
When he was no more than knee high and as [MASK] as a pencil I dug him out of the wild river bank and planted him in a virginal garden half an acre of island that consisted of nothing more luxurious or exotic than brick rubble tilled chalk and grass seed.,slender
He made himself as [MASK] as a lamb hoping perhaps that they would give him an extra morsel of food or some other favour.,modest
The sense of disappointment was as [MASK] as a blow painful out of all proportion so much so that for a moment I was almost angry with him for not being there.,sharp
You must be as [MASK] as the reed in the fable lest by resisting the tempest like the oak you be torn up by the roots.,flexible
Her body went as [MASK] as a bowstring and when she opened her eyes and looked into his face she saw there awestricken astonishment.,tense
He felt as [MASK] as a kitten but the fever and nausea were gone.,weak
The big wooden table had been scrubbed as [MASK] as a bone on the seashore.,white
From then on his manner towards me was as [MASK] as ice which caused me great pain.,cold
The bell-lamp in the passage looked as [MASK] as a soap-bubble you could see yourself in all the tables and French-polish yourself on any one of the chairs.,clear
The sweater was as [MASK] as a puff and as smooth as a bird to touch.,light
The nine Women came behind her their footfalls as [MASK] as birds'.,light
Lieutenant Webster the Duke's voice was as [MASK] as a sword in winter four horses instantly to the Prince of Orange's carriage.,cold
On the other hand he had to be as [MASK] as granite inside harder even than a brutally flamboyant exhibitionist such as Obispal since Jaq was a guardian of those who guarded humanity an investigator of the investigators.,hard
They held each other soberly and Anna noticed he was as [MASK] as a ruler all bone.,thin
It was not surprising that Benny had been as [MASK] as a hen walking on hot coals all summer long never able to keep still always jumping up with some further excitement.,excited
To the Romanian audience for these trials which were broadcast live on television the lists of cartons of cigarettes or kilos of refrigerated meat were as [MASK] as the tales of the riches of the Sultan in One Thousand and One Nights.,fascinating
I wanted to express what a simple thing death and burial is just as [MASK] as the falling of a leaf - just a bit of earth dug up a wooden cross.,simple
During our set the sky grew gradually darker and darker until by the last number the sky was as [MASK] as the ceiling of the Camden Falcon.,black
Levy's voice is as [MASK] as a shag on the floor of a sandpaper factory the lyric is utterly ridiculous describing the popularity and stylishness of a certain fashionable item and the soprano sax added to that tender little guitar lick from the Arrested Development record just upsets your soul.,rough
For emotional resonance flags are about as [MASK] as a quadrilateral of cloth can be.,potent
Don't call me that you great jerk said Perdita hammering her fists against his chest which was as [MASK] as the ground outside.,hard
When Mr Wormwood arrived back from the garage that evening his face was as [MASK] as a thunder-cloud and somebody was clearly for the high-jump pretty soon.,dark
Plus they rely far too heavily on Chad Gracey's bionic drumming to get them noticed the tinny snare effect soon becoming as [MASK] as a catfight underneath your window at 3 am.,annoying
Thin and tiny in stature her back was as [MASK] as an arrow but her legs often pained her in the cooler winter and spring weather.,straight
He sat back as [MASK] as a cat that has licked the cream while Eleanor held his hand and looked concerned.,smug
We can hardly tell the Finance and Executive Committee that the British are unreliable at the vehicle plants but as [MASK] as the Rock of Gibraltar when it comes to components.,solid
They carted him like a scarecrow his heels scoring the gravel but he was as [MASK] as a pig in a cart he would never squeal without a hard prod Donald Stewart the blacksmith had to grip his wrist to make him sign the paper.,stubborn
Her face became as [MASK] as an icon as if she had momentarily glimpsed the old customs of Irkutsk a bridal party bearing skates of bone and bodices of the finest needle-point standing on the southern shore and looking across Baikal a sallow-faced groom from Chita smoothing his first moustache and pacing the deck of an ice-locked paddle-steamer.,bright
A virus is as [MASK] as a bullet or a shell.,neutral
He had been a cheerful fellow in those days and life was as [MASK] as a laugh on the wind or the carelessly squandered words of a song.,trivial
The atmosphere here's as [MASK] as mud she said.,thick
Her writing is as [MASK] as sculpture and as steady and unobtrusive as breathing.,whole
On the other hand I've been as [MASK] as a turkey in January and all because of a story I spotted in a medical magazine stating that regular lashings of oily fish cut sharply your chances of having a heart attack.,happy
If the water is frozen and shifts as a glacier then it can carry entire boulders which are as [MASK] as a hotel hundreds of miles and gouge great scars.,big
I do not know whether we dragons loved her or hated her her will was like iron as fast clad as our scaled hides but her heart was like a songbird in the morning and she was as [MASK] as the lilies of the field.,lovely
No matter how carefully he sliced each shovelful in an arc out on the wind there were certain unpredictable gusts that lifted the grains and blew them back towards the tractor so that by evening his clothes were filthy with lime his face and hands which are as [MASK] as chalk accentuating the inflamed red round his eyes.,white
Heaps of faded yellowing newspaper cuttings their arguments as [MASK] as the foundations of the front-line ruins are there to prove our lack of comprehension.,flawed
For several minutes Morse looked down at the turbid turgid river and his thoughts were as [MASK] as the waters below him.,restless
The compulsion to get away and not look back was as [MASK] as a hand on her shoulder urging her forward.,strong
His tone was as [MASK] as the weather outside.,icy
Heathcliff dropped his candle and stood without moving. His face was as [MASK] as the wall behind him.,white
Every year is as [MASK] as clockwork ever since I've been here and that's eight years.,regular
"Gage might look and act like a bronco in his den, hates to go back but set him free in a pen and he will be as [MASK] as a lamb and as sweet as a dove.",calm
You will be as [MASK] as a piece of dirt on the sole of my shoe.,worthless
Wearing the suit she weighed three hundred kilos and felt as [MASK] as a rhinoceros as soon as she was outside she'd feel almost weightless and the suit's systems would give her the strength of a robot while hardly affecting the speed and ease of her movements.,graceful
She is as [MASK] as a lamb and while most people are cautious when meeting her they soon think she's wonderful.,gentle
"Your sexuality is your passion print, which is as [MASK] as a fingerprint.",unique
I'm as [MASK] as a daisy he declared brightly.,fresh 
You're as [MASK] as a sheet he returned implacably.,white
Her hands had been as [MASK] as a rock until David mentioned Donna's birth and Juliet's on the same day and Thorn House.,steady
John Power is prepared to run through a wall Willie O'Connor is as [MASK] as nails and Liam Simpson takes no prisoners.,hard 
Richard had only been climbing a few months but he was as [MASK] as an ox and had no respect for tradition he did n't know all the horror stories.,strong
The camp was almost as [MASK] as day but beyond to front and rear stretched the clammy darkness of the Moravian moor.,bright 
"You have a gorgeous day this month in June 26, and it is as [MASK] as diamonds if you have a meeting or presentation on this day or take any other chance on hitting it big, you can make it!",rare
"Also, upon word Homolka had moved to an island his comment to a reporter was, What can we do about it, she is as [MASK] as a bird.",free
Any child would love to swing as [MASK] as a bird on this lovely indoor / outdoor swing.,free bird
"Like the song says, Beauty and the Beast is a tale as [MASK] as time.",old time
The Struckout jacket doesn't restrict movement on the bike and it's as [MASK] as a feather but if the rain was really hammering down it wouldn't be too long before you were starting to get wet on the inside.,light 
The story of King Arthur and his knights is a tale as [MASK] as time.,old
"After Yo resolved her conflict with Kim by being as [MASK] as ice dressed up in fire red (Revlon , are you listening?",cold 
I am reliably assured that King's College Chapel in Cambridge which has stood as [MASK] as a rock for the past 450 years could never be built today because the design would never be accepted under the safety limits of the building regulations.,steady
He was as [MASK] as the stone she sat on she thought forlornly.,cold
Rachel looked as [MASK] as a picture her lovely body warmly covered by a grey riding cloak lined with miniver fur.,pretty
In spite of the fact that he was as [MASK] as a bird it was possible that he regretted what had happened.,free 
He went as [MASK] as a rake and deathly pale then for a couple of weeks.,thin 
Tess's face went as [MASK] as the snow on the ground.,white 
"It is a tale as [MASK] as time, a wall separating gamers at their very core.",old
"Retirement doesn't seem so scary when it's far in the future, but when you're staring it in the face with very little savings, it can make you turn as [MASK] as a ghost.",white
"Conrad must have taken Cole at his word, because he stumbled out of the door, being as [MASK] as a sheet and moving so fast he jiggled.",white
"It's powered by a 660CC, 3 cylinder Honda motor but don't let the size of the engine fool you, it is as [MASK] as a feather.",light 
He's as [MASK] as a lath.,thin
His face was as [MASK] as a tomato.,red 
His back was also as [MASK] as a ramrod and his highly polished black gaiters had flashed in the sun.,straight 
If they hadn't been so excitable they'd have been as [MASK] as birds right now.,free 
Yet she thought Vi was as [MASK] as the air with no home to worry about no children to rear on a pittance as Mam had done.,free 
You're as [MASK] as a sheet and you're shaking.,white
In fact she was as [MASK] as a mouse and Ruth hardly knew she was there.,quiet 
The family scene may not be as [MASK] as silk but is it ever.,smooth
Ewen went as [MASK] as paper and jerked upright in his chair.,white 
Martin Fierro's aim in life was to sleep on a bed of clover look up at the stars and live as [MASK] as a bird in the sky.,free
To give Perdita confidence in her first chukka he'd put her on a dark brown pony called Chimango which meant bird of prey who was as [MASK] as a rock but who swept down on the ball like a hawk.,steady
The train of thought that begins like this is as [MASK] as an eel and the only effective way to catch it is to examine the truth of the matter.,slippery 
And Jean-Paul can be as [MASK] as a mule and you knew perfectly well that if you'd told him what you felt he would have dug in his heels and insisted.,stubborn
The Greeks preferred to find their gospel example of the contemplative life in the story of the Transfiguration of Jesus on Mount Tabor when his glory shone through his humanity and his garments became as [MASK] as snow to the astonishment and joy of three of his disciples who were privileged to see the vision.,white
His mind was as [MASK] as the ice forming on the windscreen.,cold 
Peter was as [MASK] as a rock keeping the ball on the fairway and hitting nearly every green in regulation.,steady 
Firelight was now as [MASK] as a lamb and would lie down and sleep beside him instead of pacing round her box all night.,gentle
He went as [MASK] as a sheet and backed off immediately.,white
Said he was as [MASK] as a ramrod and would get nowhere but he's pretty hard on people anyway.,stiff 
I am always in my very best spirits for my heart has been as [MASK] as a feather ever since I got away from all that humbug and what is more I have become fatter.,light 
The captain was as [MASK] as a pig in the mire.,happy
She said when she saw you last you were as [MASK] as a rake and she's right.,thin
Warm skin is as [MASK] as silk against his mouth.,soft
She remained as [MASK] as a rake although she was eating properly now.,thin
"He left me soothed, yet full of solicitude, breathing a wish, as [MASK] as a prayer, that if I were wrong, Heaven would lead me right.",strong
Olenna matriarch of House Tyrell is as [MASK] as a cockroach.,adaptive 
Few things can be as [MASK] as a breakdown in that chain of mechanics and electronics.,frustrating
"It is about as [MASK] as a jackhammer, although even so the message didn't seem to sink in.",subtle 
"Then your light will shine out from the darkness, and the darkness around you shall be as [MASK] as day.",bright
"Look at me, I'm as [MASK] as an ox.",healthy
"Even if you had a Patriot battery deployed on your lawn, you would be as [MASK] as a kitten with polio.",helpless
Though your sins be as scarlet they shall be as [MASK] as snow.,white
"However, recently black has become as [MASK] as denim, so I wanted to find tomorrow's black.",customary
The ultimate treat for anyone that's as [MASK] as chocolate - but this is a treat with a difference.,sweet 
You are as [MASK] as a lath and as brown as a nut.,thin 
"That stuff never smells or wrinkles, and is just as [MASK] as cotton.",soft 
He may be as [MASK] as a dinosaur but he's as gentle as a lamb.,tough
Together under Caroline Paterson's skilled direction the company finds an idiom for a humour which is as [MASK] as an arrowhead and as hard as flint and a style for an emotion which is shaped from the very suppression and denial of feeling.,sharp 
You may remember that Samson was a man of enormous strength and then following a liaison with Delila and her cutting off his hair he was reported to have become as [MASK] as a child and yet there was an occasion which led to his death when he brought the whole temple down by pulling the pillars against which he was propped.,weak 
The haul up from there to the top of the highest bank was several hundred feet of deep heather pollen-dusty and honey-scented but as [MASK] as a hedgehog for a flea.,friendly 
High lonely hills where the wind and the sound carry and the ground's as [MASK] as straw in a barn.,dry
Another rifleman had bartered some of his Red Cross parcel for a loaf of bread The conditions of living and surviving had made us all as [MASK] as foxes so this rifleman that night slept with it under his neck but someone crept up and cut off both the ends.,cunning
"And while they certainly are open to research and development and to further invention, the way they evolve is as [MASK] as the evolution of the natural world.",complex 
"When the gluttony was done and all the half - eaten food had been cleared away to be given to the poor who gathered below, at the queen's insistence tall glass flutes were filled with a spiced liqueur from Qarth which is as [MASK] as amber.",dark
"And in the age of social media dominance, shares are just as [MASK] as clicks.",important
Some people add sour cream and butter to make it as [MASK] as a cloud and that's what it literally tastes like.,fluffy
"The red men, who are as silent and as [MASK] as serpents, follow him everywhere and mark his every step.",muscular 
"he ought to admit that a structure which is even as [MASK] as an eagle's eye might thus be formed, although in this case he does not know the transitional states.",perfect 
And there are other people who try to fix up something far more important with things just as [MASK] as a can of mud.,worthless
"I like to give up the car and occasionally take the means of transport as [MASK] as mankind, a cart full of newly mown hay and pulled by a horse.",old
"As the late, great Muhammad Ali taught us, boxers can be as [MASK] as dancers, moving in a choreography of aggression and pain.",graceful 
Bonds can be as [MASK] as torture if applied with enough viciousness.,cruel 
She curled up in the leather sofa that looked as [MASK] as a bed and waved Zen into a matching armchair opposite.,comfortable
as if life itself were not as [MASK] as the house one was coming back to.,empty
Lately he's been as [MASK] as a bitch on heat.,delicate
"You have been our rock, while being as [MASK] as a lamb.",gentle
"He kept looking around, amazed, thinking something really bizarre was happening his pupils were as [MASK] as quarters, as were most of ours quite frankly.",big 
An API on its own is as [MASK] as a car with no driverits potential without execution.,useful
"Even veteran soldiers could be as [MASK] as a child in a battlefield, and weak creatures like them should not continue to exist in this world.",helpless
"Also Mars is as [MASK] as a nail, not even an ET virus/bacteria was detected by all our martian missions combined.",barren
Her voice was as [MASK] as stone.,persistent
It will go more probably to an unknown office cleaner whose life is as [MASK] as a flower but just as perfect or beautiful.,anonymous
Their faces were as [MASK] as death and salty and wet from the sea.,cold death
She was slipping on a surface as [MASK] as glass and cries were resounding in her ears her own cries she thought confusedly or Adam's then she fell and the glassy surface struck like a blow.,clean
We arrived as [MASK] as a couple of puppies out for their first walkies full of fun and raring to go.,keen
They were close to starvation and typical of barn owls when they're frightened they sat as [MASK] as dummies not making a sound.,stiff
He went down the airless corridor to his Boss's office said hello to the secretary and walked into the large oak-panelled room which was as [MASK] as the lobby of many a sizeable hotel.,big
Added to this was an acceptance of liberal Victorian culture to such a degree that it was assumed to be as [MASK] as the gospel itself.,eternal 
My mind raced as [MASK] as a flea in air.,agile
"These are basic ingredients, perhaps, but the truth about them is as [MASK] as humanity itself.",diverse
Intent is as [MASK] as air to those who breath no need to speak of it or even be too conscious of it: in the realm of nature and the things that are as they are but never to be taken for granted.,obvious
The Derby defence looked as [MASK] as a tea-bag but Penney fluffed the shot.,solid 
When the corpse floated past it was as [MASK] as a branch drifting in the water and once we had passed it it stayed bobbing in the water as if tied to our stern.,ordinary 
Her eyes were as [MASK] as the patch of bright sky which had suddenly emerged from between the clouds and when she looked at him he was sure there was invitation in their depths.,blue 
Great towering clouds were massing behind Big Allen but to the west the sky was as [MASK] as the inside of a mother-of-pearl-lined shell of a pale tender pink-stained azure.,clear 
The kid steps in and Ali stabs him with a well-timed jab that's as [MASK] as a bite from the last tangy apple of autumn.,sweet 
No matter that their French or German accents were as [MASK] as a slice of sushi.,thick
"BOULT The nobleman would have dealt with her like a nobleman, and she sent him away as [MASK] as a snowball.",cold
What larks and japes persuaded this audience to collapse in convulsions is a mystery which is as [MASK] as the Druids' Runes.,dark
He felt for the words that should follow the first step that was as [MASK] as a death or more truly as hard as being born again.,hard
But his daughters on whom he is as [MASK] as a baby refuse to get up in what they call the middle of the night to enable him to pursue his observations.,dependent
Still not worried still sliding smoothly through the crowds feeling as [MASK] as a shadow I passed from night-spot to night-spot.,elusive
They laughed swam in the Humber which strangely was as [MASK] as bathwater and a dazzling transparent blue chased each other in slow motion through the sand dunes caught each other and kissed fed each other with Marie could not decide what they should feed each other with.,warm
Ahead was a stepped altar which is as [MASK] as a cottage and dotted with blue lights.,large
Usually this means the off peak rate isn't quite as [MASK] as economy 7 and there is usually a higher standing charge.,good
 And he was as [MASK] as a whip.,smart
And he's gone to bed as [MASK] as a baby.,pleased
We've been with ClickTime since 2011 and we're still as [MASK] as day one.,pleased
I feel about as [MASK] as a fish for shitting in the sea.,guilty
it is as [MASK] as thet.,empty
"Irregular Choice is as [MASK] as a child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children's  collection for years and he has worked hard to make their dreams come true , developing this capsule kid Be carried along on a platform wave into the realm of mythical creatures where you will be mesmerised by our Irregular mermaid.",excited
Oil boilers are just as [MASK] as gas and in some cases even more so.,efficient
They seem as [MASK] as photographs of nineteenth-century Paris.,ancient
The Right Width Tie width is as [MASK] as fashion itself.,periodic
Their case turned out to be as [MASK] as smoke.,solid 
"here's a solution -buy a PC, but wait until later this year when they release Vista which will look as [MASK] as a Mac, along with all the more functional improvements.",pretty
On 21.12 the Progress - M37 was still as [MASK] as a fiddle which could be derived from the strong signals during the pass in the 20th orbit with a TCA at 132432 UTC.,fit
"Director Matt Spicer's Sundance breakout is a tale as [MASK] as time, modeled almost to a T on The Talented Mr. Ripley (without the murder).",old
"I've baked it at the stated temperature and for the stated amount of time, but every single loaf is as [MASK] as a football and about as appetizing.",tough
"Woven using 25,000 flexible stainless-steel threads that are three times thinner than a piece of paper, as [MASK] as silk and the strength that surpasses leather.",smooth
"First, the Redeemer's saving concern is as [MASK] as humanity.",wide
"That is just as [MASK] as a rock, firm set in the depths of a restless sea.",fixed
"English is an eccentric language, and its students might even think were all as [MASK] as hatters.",mad
"They are - about as [MASK] as Emerald, but you will only find those Ores in their specific Biomes: Ruby : Forest like areas and Plains.",rare
They're as [MASK] as cornbread.,common
The unit is as [MASK] as hell and easily weighs almost double the iPad 2.,heavy
Those are as [MASK] as fate.,fixed
what will seem as [MASK] as a thatcher or fletcher does today?,archaic
It is as [MASK] as a Fart in the White House.,sad
That's as [MASK] as an excuse as they come.,fake
The curtain rose to the usual restless flutter of the audience the last coughs audiences were as [MASK] as the performers in their reactions and the chorus began their opening song.,predictable
I think so far we've been as [MASK] as gold and can only maybe have offended Scum supporters which can only be good.,good
She could feel the moment when he decided to thrust her away from him abruptly stepping back the shock of their coming apart striking as [MASK] as a blow stunning her so that she fell back against the parapet her lips swollen by the passion of his taking a soft anguished breath escaping from between them.,swift
Yet as she watched him perched as [MASK] as a cat on the prow leaning back out over the waves to balance the little craft his splendid chest scattered with little beads of water Ronni was aware that she didn't really mean it.,slender
I'll be as [MASK] as rain again soon.,right
Atlantic Richfield Co. says that its new petrol is as [MASK] as methanol and that it would be ready to start selling it in California by 1996.,clean
Remember of course that Labour and the Unions are as [MASK] as thieves so the gr Labour Group just like its parliamentary counterpart is incapable of making a single decision without the Union pulling the strings.,thick
One that gradually took the ice from her veins and relaxed her until she felt as [MASK] as a bug and ready to purr like a kitten.,close
They moved together in a dance as [MASK] as time until finally Travis slid between her parted thighs hands going to her hips to hold her tightly against him and feel his desire.,old
She was as [MASK] as rain two days ago Jenny said and she was well all winter.,right
Baby Bogdan on road to recovery ROMANIAN baby Bogdan Ursu is as [MASK] as a button in Middlesbrough General Hospital after last week 's operation to remove water from his brain.,bright
Shreeves said Gary could be as [MASK] as a button on Monday but I felt we had to let Graham Taylor know.,bright
The beast is about as [MASK] as a sheep and is described as a freak of nature.,big
my heart was in me mouth when they come up for Christmas and that's the last time they were up I thought me tree's gon na go over you know I thought if he pulls at me tree or anything but he was he was as [MASK] as gold for not he was't trying to get me ornaments or anything he was er you know just happy to play with his own toys so he wasn't naughty.,good
But she was as [MASK] as a kitten because we were we were in a one of these Canadian type.,nervous
As soon as I found out I had to retire they were as [MASK] as gold and granted me a testimonial straight away.,good
Without the pioneering treatment Jonathon would have been as [MASK] as youngsters half his age.,tall
Oh I see what you mean no I don't think he'll come home as [MASK] as a button somehow or other.,bright
I remember as [MASK] as day standing talking to Penny and I was calling their plumber I'll always remember that and I was quite took back and Penny said ooh she's been very good to me.,clear 
That sat as [MASK] as gold till you got to Colin's didn't he.,good
Yeah but when he got down here he was as [MASK] as rain wasn't he.,right
You know she's as [MASK] as gold and all that but I mean.,good
England's batting in this Test has been as [MASK] as the plate of prawns which ruled out captain Graham Gooch.,unsafe
At the moment the number of people suffering from flu in Scotland is nowhere near those levels but one or two football managers may well be feeling as [MASK] as a parrot because they did not think to have their highly-priced investments vaccinated before the winter began.,sick
The French monarchy probably benefited little from this horde of officials who lay in the words of a contemporary Englishman which are as [MASK] as the grasshoppers in Egypt.,thick
Under water their needle-like razor-sharp teeth enable them to take fish as [MASK] as eels through they are not good enough swimmers to prey regularly on the fast-swimming fish such as salmon or trout.,slippery
Robert Giroux has recalled how in advance of such occasions Eliot was as [MASK] as a cat but that when he had begun a great calm descended upon him.,nervous
Such solitariness was a condition and not a mood however it lay beneath those moments of inexplicable high spirits when Eliot seemed as Sherek put it as [MASK] as a cricket just as it could be combined with apparent activity and busyness in the world.,gay
In some parts they are grouped in swarms hundreds strong as [MASK] as herds of grazing antelope.,thick
They had a good supper of eggs and milk and crunchy fresh bread in the kitchen which was as [MASK] as the rest of the house but more cheerful with a big range fire that threw out heat like a furnace.,clean
To say that human beings from time to time have sexual intercourse and that this is because they have sexual instincts is as [MASK] as the argument about hunger.,circular
As soon as he is shipped on board of a man-of-war he becomes as [MASK] as a midshipman must unavoidably be from his humble situation.,insignificant
His tip is ponderously broad half the size of the cue-ball mine is as [MASK] as a sting excellent for spins and miscues.,slender
I'll be as [MASK] as a coot if you go on like that.,bald
Shiseido has increased the proportion of the moisturising ingredient hyaluronic acid in the Matte Red Lipstick to give a velvety texture and the three-sided Black Variations Shadow Liner is as [MASK] as charcoal so that it can be blended all over the eyelid or gently smudged as a liner.,soft
Basically we're as [MASK] as chalk and cheese and we have completely different life styles for a start I'm a family man and he's not.,different
"Even Wordsworth, who had never been there, took it on himself to describe it as [MASK] as the lair where the young lions couch. Then, he went on to say that if the pensive votary enters Gordale at shadowy eve, when the air glimmers with fading light, he or she will meet a local deity with oozy hair and mineral crown.",terrific
No wonder they're all as [MASK] as hares and smell like princes.,big
In the eyes of the faithful these Brabanters with their freebooting and lack of discipline after the end of campaigns were as [MASK] as heretics in 1171 Frederick Barbarossa and Louis VII agreed to expel them from their lands.,dangerous
I steered clear of Daniel's murder but he's as [MASK] as hell in the other case too.,guilty
Come now and let us reason together saith the Lord though your sins be as scarlet they shall be as [MASK] as snow though they be red like crimson they shall be as wool.,white
One lot are as [MASK] as gold we'll have them any day but another lot are almost more than we can cope with.,good
It is as [MASK] as a galaxy itself and may be the original material of a potential star system that never really formed says Terzian.,large
From the mini weighing as [MASK] as an amoeba or only one hundred - millionth of a kilogram kg to the supermassive with a mass one thousand million times that of the Sun they have been invoked to account for a wide range of cosmic phenomena.,little
Some regard what they do simply as a form of legitimate adult play while others take it far more seriously and see themselves as going beyond present human limitations journeying into a new galaxy of knowledge in a way which they find at least as [MASK] as the exploration of deep space.,exciting
An interferometer swung around by the Earth's rotation will synthesise a dish as [MASK] as the separation of the two telescopes.,large
I was as [MASK] as a poker and as red-hot with pain.,stiff
It was as [MASK] as a caress and Violet could only squirm.,good
Bryan Gould is as [MASK] as gold and Gerald Kaufman is a happy-go-lucky bachelor who 's still waiting for the right girl to come along.,good
They're not quite as [MASK] as an onion but have a nice bite to them.,strong
In the Bible there is be as [MASK] as snow ( Isaiah 1:18 ).,white
Rats are bigger and just as [MASK] as squirrels.,smart
"These can be as [MASK] as dancing, as useful and low impact as bicycling , or as heart-thumping as boxing.",enjoyable
"It may not be as [MASK] as JonBound, but he promises to get revenge someday ... The next patch is actually a unique one .",complete
"Moving an appliance as [MASK] as a fridge, washing machine or tumble dryer on a frequent basis to give them a good vacuum just isn't practical.",heavy
"Historically, colonialism, and now capitalism , have contributed to the demonization and trivialization of these practices as savage, paganistic, hippy dippy and about as [MASK] as a placebo - the way this is presented is like these are novel ideas that were introduced to the world thanks to good ol Edga.",useful
Makes tools that are about as [MASK] as wood.,powerful
"The Bucket Hat Functionally, it's as [MASK] as a hat that you can stash away into your back pocket for rain or shine.",simple
They're not as [MASK] as grass for high-traffic areas.,durable
"Clayton Speers, 30, had a 10-cm buck knife plunged into his neck-out of the blue, as [MASK] as rain from a cloudless sky - while he was simply questioning the 48-year-old Melton about the erratic behaviour that was troubling Sunday shoppers and diners along Bayfield Ave.",unexpected
"Hence, a man knows something, which the computer can not know and the conclusion is that a computer can not be as [MASK] as a man, even in principle.",intelligent
"Proprietary vendors try to identify customer needs using marketing departments, but there's little evidence that marketing departments are as [MASK] as customers themselves at identifying customer needs.",effective
"The idea of gathering around food is a tradition as [MASK] as time, and Ayurveda recognizes that this is not only a physical process, but also an emotional and spiritual one.",good
"A motif could be something as [MASK] as a design on a Tee shirt, or it can be a theme in writing or music.",simple
A simple card or a heartfelt note is as [MASK] as a sweater or new pair of socks.,important
"And since for the next four days you're going to be about as [MASK] as a turnip, there's not much you can do about it, he tells Swamp Thing.",dangerous
"Everybody is aware of the fact that the module Spektr is as [MASK] as a doornail, but the power shortage also paralysed another 2 huge modules, i.e. Kristall and Priroda.",dead
They may be as [MASK] as URLs in a few years.,common
It was as [MASK] as a sea-gull's egg.,large
It was as [MASK] as a block of marble.,valuable
"Silphium uses notes of frankincense, myrrh, leather and tobacco to echo silphium, a herb considered as [MASK] as gold in ancient times.",valuable
"They are not as [MASK] as curses, but are still considered minor dark magic and are therefore not taught at Hogwarts.",harmful
They were as [MASK] as night and day.,different
"The formula will be richer than a gel, but not as [MASK] as a cream.",rich
"The phenomenal geothermal wonder of those pictures stayed with me, especially a geothermal pool called Bloody Pond Hell, a pool which was as [MASK] as blood.",red
They generally are more outgoing and not as [MASK] as balls.,shy
Morrison believes that action is as [MASK] as beliefs so he is standing in the upcoming TCDSB trustee by-election in North East Scarborough.,important
"he opened the gate himself and sauntered slowly up, probably enjoying the lovely afternoon that breathed as [MASK] as summer.",soft
This active ingredient means it is just as [MASK] as a pain reliever as some over-the-counter painkillers.,effective
I got one response back that a letter from home is just as [MASK] as a package.,good
I doubt many of us can say our situation is as [MASK] as a slaves in the first century.,dire
"Seven tells him that remorse is as [MASK] as anger, and he says he knows.",unbearable
